CODIGO_PROYECTO,N,SUBDIRECCION,PROGRAMA_CONICYT,INSTRUMENTO,NOMBRE_CONCURSO,AÑO_CONCURSO,AÑO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA MINCIENCIA (segUn ax),REGION_EJECUCION,MONTO ADJUDICADO (MILES $),M$_SINFO_NOSOLICITA
7818D20001,33475,REC,PAI,TESIS DE DOCTORADO EN LA INDUSTRIA,"Tesis de Doctorado en el Sector Productivo 2018, Modalidad 1 Tesis de Doctorado 2da Convocatoria",2018,2018,IMPLEMENTACION DE MODELOS GEOMETALURGICOS EN LA PLANIFICACION MINERA: GUIA MULTIDISCIPLINARIA PARA LA DEFINICION DE RESERVAS MINERAS SEGUN CODIGO INTERNACIONAL NI 43-101,INGENIERIA Y TECNOLOGIA,OTRAS INGENIERIAS Y TECNOLOGIAS,NO APLICA,24,PERSONA JURIDICA,BRIAN TOWNLEY CALLEJAS,HOMBRE,UNIVERSIDAD DE CHILE,NORTE,01. TARAPACA,31814,
7818T20006,33483,REC,PAI,TESIS DE DOCTORADO EN LA INDUSTRIA,"Tesis de Doctorado en el Sector Productivo 2018 2da Convocatoria, Modalidad 2 VinculaciOn Previa-Tesis",2018,2018,SINTESIS Y ESTUDIO ESTRUCTURAL DE COMPLEJOS INORGANICOS DE NI(II) Y CU(II) DERIVADOS DE BASES DE SCHIFF. POTENCIAL APLICACION COMO INHIBIDORES ADITIVOS Y PIGMENTOS EN HORMIGON ARMADO DE ESTRUCTURAS METALICAS FRENTE A LA CORROSION ATMOSFERICA.,CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,NO APLICA,24,PERSONA JURIDICA,MAURICIO FUENTEALBA CARRASCO,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,NORTE,01. TARAPACA,1800,
CL_2018B_016,33508,REC,ASTRONOMIA,TIEMPO DE OBSERVACION GEMINI SUR-B,Tiempo de Telescopio Gemini Sur Bases 3156/2018,2018,2018,OPTICAL TRANSMISSION SPECTROSCOPY OF WASP-156B OFFERS THE BEST SCENARIO TO DECOUPLE FROM USUAL HOT JUPITER ENVIRONMENT,CIENCIAS NATURALES,CIENCIAS NATURALES,NO APLICA,6,PERSONA NATURAL,MAXIMILIANO MOYANO DÂ´ANGELO,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,,SIN INFORMACION
viu18p0021,33519,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD - OCTAVA CONVOCATORIA / RENOVACION 2018,VIU - Etapa 1 Bases 4091/2018 Octava Convocatoria RenovaciOn 2018,2018,2018,OPTIMIZACION Y VALIDACION COMERCIAL DE UN PRODUCTO ALIMENTICIO FUNCIONAL PROVENIENTE DE LA APLICACION DE PROCESOS BIOTECNOLOGICOS ACUICOLAS Y DE LA AGROINDUSTRIA.,CIENCIAS AGRICOLAS,ALIMENTOS,NO APLICA,3,PERSONA JURIDICA,AYLIN SANTELICES CORTES,MUJER,UNIVERSIDAD ARTURO PRAT,NORTE,01. TARAPACA,2000,
viu18p0076,33543,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD - OCTAVA CONVOCATORIA / RENOVACION 2018,VIU - Etapa 1 Bases 4091/2018 Octava Convocatoria RenovaciOn 2018,2018,2018,"INTERFAZ DE PROGRAMACION DE APLICACIONES PARA LA IDENTIFICACION DE PERSONAS Y ESTIMACION DE
 ATRIBUTOS FACIALES ROBUSTO A PARTIR DE IMAGENES O SECUENCIAS DE VIDEO, UTILIZANDO TECNICAS
 AVANZADAS DE RECONOCIMIENTO DE ROSTROS E INTELIGENCIA ARTIFICIAL.",INGENIERIA Y TECNOLOGIA,TECNOLOGIA DE LA INFORMACION Y COMUNICACIONES,NO APLICA,3,PERSONA JURIDICA,LUIS SAN MARTIN SAAVEDRA,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,2000,
viu18p0079,33545,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD - OCTAVA CONVOCATORIA / RENOVACION 2018,VIU - Etapa 1 Bases 4091/2018 Octava Convocatoria RenovaciOn 2018,2018,2018,"LINEA DE CREMAS TOPICAS ANALGESICAS, A BASE DE COMPUESTOS BIOACTIVOS PROVENIENTES DE MATERIAS PRIMAS NATURALES",CIENCIAS AGRICOLAS,ALIMENTOS,NO APLICA,3,PERSONA JURIDICA,SERGIO MUJICA BERNALES,HOMBRE,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,2000,
viu18p0097,33553,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD - OCTAVA CONVOCATORIA / RENOVACION 2018,VIU - Etapa 1 Bases 4091/2018 Octava Convocatoria RenovaciOn 2018,2018,2018,DIVERSIFICACION PRODUCTIVA DEL OREGANO DE LA PRECORDILLERA DE LA COMUNA DE PUTRE: UTILIZACION DEL OREGANO PARA EL DESARROLLO DE PROTOTIPOS DE ACEITES COMESTIBLES SABORIZADOS,CIENCIAS AGRICOLAS,ALIMENTOS,NO APLICA,3,PERSONA JURIDICA,DANIEL BURTON VILLALOBOS,HOMBRE,UNIVERSIDAD DE TARAPACA,NORTE,01. TARAPACA,2000,
viu18p0145,33575,INVESTIGACION APLICADA,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD - OCTAVA CONVOCATORIA / RENOVACION 2018,VIU - Etapa 1 Bases 4091/2018 Octava Convocatoria RenovaciOn 2018,2018,2018,"PRODUCCION DE BIOMASA Y PIGMENTOS ANTIOXIDANTES DE MICROORGANISMOS
 HALOFILOS EXTREMOS COMO ADITIVO ALIMENTARIO.",CIENCIAS AGRICOLAS,ALIMENTOS,NO APLICA,3,PERSONA JURIDICA,DANIEL ANDRADE HIDALGO,HOMBRE,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,2000,
VIU17E0069,33589,INVESTIGACION APLICADA,FONDEF,VIU,VII CONCURSO DE VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD,2018,2018,CALDOS DE ALGAS DESHIDRATADOS COMO ALTERNATIVA GOURMET SALUDABLE Y ALIMENTO FUNCIONAL,CIENCIAS AGRICOLAS,ALIMENTOS FUNCIONALES,NO APLICA,16,PERSONA JURIDICA,KARINA VELIZ ROJAS,MUJER,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,24000,
VIU17E0161,33605,INVESTIGACION APLICADA,FONDEF,VIU,VII CONCURSO DE VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD,2018,2018,ADITIVO GERMICIDA PARA HORMIGONES,INGENIERIA Y TECNOLOGIA,INFRAESTRUCTURA,NO APLICA,12,PERSONA JURIDICA,ORIETTA MALUENDA,MUJER,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,20400,
